Started Wise polling loop for BIORAD_IH500_DEVICE_01 (interval=1.0s)
2026-03-18T15:46:41.340+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=1 err=''
2026-03-18T15:46:42.364+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=1 err=''
2026-03-18T15:46:44.166+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:45.215+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:46.245+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:47.266+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:48.289+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:49.314+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:50.344+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:51.377+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:52.783+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:54.011+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:55.036+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:56.064+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:57.086+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:58.106+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:59.142+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:00.168+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:01.190+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:02.409+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:03.720+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:04.772+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:05.806+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:06.832+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:07.856+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:08.877+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:09.909+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:10.930+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:11.961+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:12.983+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:14.005+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:15.025+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:16.047+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:17.070+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:18.102+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:20.559+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:21.959+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:23.006+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:24.026+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:25.063+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:26.093+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:27.117+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:28.215+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:29.246+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:30.277+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:31.306+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
