timestamp,mode,requested_event,planner_state,system_manager_mode,system_manager_state,error
2026-03-17T09:02:11.596+01:00,manual,,1,manual,1,
2026-03-17T09:02:12.111+01:00,manual,,1,manual,1,
2026-03-17T09:02:12.629+01:00,manual,,1,manual,1,
2026-03-17T09:02:13.162+01:00,manual,,1,manual,1,
2026-03-17T09:02:13.680+01:00,manual,,1,manual,1,
2026-03-17T09:02:14.211+01:00,manual,,1,manual,1,
2026-03-17T09:02:14.746+01:00,manual,,1,manual,1,
2026-03-17T09:02:15.280+01:00,manual,,1,manual,1,
2026-03-17T09:02:15.798+01:00,manual,,1,manual,1,
2026-03-17T09:02:16.326+01:00,manual,,1,manual,1,
2026-03-17T09:02:16.848+01:00,manual,,1,manual,1,
2026-03-17T09:02:17.361+01:00,manual,,1,manual,1,
2026-03-17T09:02:17.880+01:00,manual,,1,manual,1,
2026-03-17T09:02:18.412+01:00,manual,,1,manual,1,
2026-03-17T09:02:18.944+01:00,manual,,1,manual,1,
2026-03-17T09:02:19.457+01:00,manual,,1,manual,1,
2026-03-17T09:02:19.994+01:00,manual,,1,manual,1,
2026-03-17T09:02:20.511+01:00,manual,,1,manual,1,
2026-03-17T09:02:21.043+01:00,manual,,1,manual,1,
2026-03-17T09:02:21.577+01:00,manual,,1,manual,1,
2026-03-17T09:02:22.092+01:00,manual,,1,manual,1,
2026-03-17T09:02:22.624+01:00,manual,,1,manual,1,
2026-03-17T09:02:23.160+01:00,manual,,1,manual,1,
2026-03-17T09:02:23.677+01:00,manual,,1,manual,1,
2026-03-17T09:02:24.206+01:00,manual,,1,manual,1,
2026-03-17T09:02:24.724+01:00,manual,,1,manual,1,
2026-03-17T09:02:25.243+01:00,manual,,1,manual,1,
2026-03-17T09:02:25.774+01:00,manual,,1,manual,1,
2026-03-17T09:02:26.294+01:00,manual,,1,manual,1,
2026-03-17T09:02:26.809+01:00,manual,,1,manual,1,
2026-03-17T09:02:27.340+01:00,manual,,1,manual,1,
2026-03-17T09:02:27.858+01:00,manual,,1,manual,1,
2026-03-17T09:02:28.377+01:00,manual,,1,manual,1,
2026-03-17T09:02:28.908+01:00,manual,,1,manual,1,
2026-03-17T09:02:29.422+01:00,manual,,1,manual,1,
2026-03-17T09:02:29.954+01:00,manual,,1,manual,1,
2026-03-17T09:02:30.488+01:00,manual,,1,manual,1,
2026-03-17T09:02:31.002+01:00,manual,,1,manual,1,
